LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000551730-0001-3,CALIFORNIA PIZZA KITCHEN INC,,6600 TOPANGA CANYON BLVD SUITE #1082D,CANOGA PARK,91303-2681,6600 TOPANGA CANYON 91303-2681,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,3,12/08/1986,,"(34.1898, -118.6058)"
0000964378-0001-1,LC PIZZA INC,,2602 N MAIN STREET,LOS ANGELES,90031-3319,2602 MAIN 90031-3319,,,,722110,Full-service restaurants,1,08/19/2004,,"(34.0659, -118.2142)"
0002344686-0001-4,OLD SICILY PIZZARIA INC,,12061 STRATHERN STREET,NORTH HOLLYWOOD,91605-1415,12061 STRATHERN 91605-1415,,,,722300,Special food services (including food service contractors & caterers),6,01/01/2008,,"(34.2157, -118.3957)"
0002596949-0001-5,PAPI S PIZZA COMPANY LLC,PAPPI S PIZZERIA,109 E 8TH STREET,LOS ANGELES,90014-3305,109 8TH 90014-3305,,,,722110,Full-service restaurants,14,01/27/2012,,"(34.0427, -118.253)"
0002375344-0017-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26165,7229 S FIGUEROA STREET,LOS ANGELES,90003-1720,7229 FIGUEROA 90003-1720,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,8,08/25/2009,,"(33.9742, -118.2826)"
0002679098-0001-0,KOKO N PIZZA INC,KOKO N PIZZA INC,3377 WILSHIRE BLVD SUITE #110,LOS ANGELES,90010-1851,3377 WILSHIRE 90010-1851,,,,445290,Home furnishings stores,10,01/16/2013,,"(34.0617, -118.2972)"
0002766655-0001-8,PIZZA MOUNTAIN PRODUCTIONS LLC,,2368 N ALVARADO STREET,LOS ANGELES,90039-3730,2368 ALVARADO 90039,2368 N ALVARADO STREET,LOS ANGELES,90039-3730,,,13,03/30/2014,,"(34.0959, -118.2522)"
0002375344-0052-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT,15650 NORDHOFF STREET UNIT #101,NORTH HILLS,91343-3281,15650 NORDHOFF 91343-3281,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,12,08/25/2009,,"(34.2355, -118.4735)"
0000116820-0005-0,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #8458,520 W AVENUE 26 #B,LOS ANGELES,90065-1016,520 AVENUE 26 90065-1016,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722211,Limited-service eating places,1,07/17/2006,,"(34.084, -118.2226)"
0002745519-0001-3,"TOWN PIZZA, BEER & WINE",TOWN,5101 YORK BLVD,LOS ANGELES,90042-1715,5101 YORK 90042-1715,5101 YORK BLVD,LOS ANGELES,90042-1715,722110,Full-service restaurants,14,04/10/2014,,"(34.121, -118.2047)"
0000380400-0001-9,LA PIZZA LLC,LA PIZZA,12515 BURBANK BLVD,N HOLLYWOOD,91607-1503,12515 BURBANK 91607-1503,6542 N CHRISTIANA AVENUE,LINCOLNWOOD,60712-3812,722110,Full-service restaurants,2,01/01/1984,,"(34.1721, -118.4055)"
0002375344-0022-5,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26179,2542 W TEMPLE STREET,LOS ANGELES,90026-4848,2542 TEMPLE 90026-4848,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,13,08/25/2009,,"(34.0722, -118.274)"
0002531169-0001-2,MOST VALUABLE PIZZA LLC,,525 S GAFFEY STREET,SAN PEDRO,90731-2437,525 GAFFEY 90731-2437,,,,722110,Full-service restaurants,15,12/01/2010,,"(33.7394, -118.2923)"
0002368241-0001-6,LOS ANGELES PIZZA COMPANY,,712 N FIGUEROA STREET,LOS ANGELES,90012-2136,712 FIGUEROA 90012-2136,1498 W SUNSET BLVD SUITE #2,LOS ANGELES,90026-3471,722211,Limited-service eating places,1,03/23/2007,,"(34.0635, -118.2457)"
0000532043-0002-6,PRIMA PIZZA INC,DOMINO PIZZA,740 S OLIVE STREET #102,LOS ANGELES,90014-2616,740 OLIVE 90014-2616,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,14,01/23/1989,,"(34.046, -118.256)"
0000369721-0001-8,SANTINO'S PIZZA INC,SANTINO'S NY PIZZA,4319 WOODMAN AVENUE,SHERMAN OAKS,91423-3030,4319 WOODMAN 91423-3030,20273 LORENZANA DRIVE,WOODLAND HILLS,91364-3527,722110,Full-service restaurants,4,08/27/1996,,"(34.1489, -118.4312)"
0002328563-0001-1,DOMINO'S PIZZA DISTRIBUTION LLC,,301 S ROCKEFELLER AVENUE,ONTARIO,91761-7865,301 ROCKEFELLER 91761-7865,POST OFFICE BOX #485,ANN ARBOR,48106-0485,425120,Wholesale trade agents & brokers,0,04/16/2007,,"(34.0612, -117.5545)"
0000116820-0013-1,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #8244,7125 BEVERLY BLVD,LOS ANGELES,90036-2538,7125 BEVERLY 90036-2538,416 N GLENDALE AVENUE,GLENDALE,91206-3326,722110,Full-service restaurants,5,07/30/2012,,"(34.0761, -118.3447)"
0000381426-0001-1,CASA BIANCA PIZZA PIE INC,CASA BIANCA PIZZA PIE,1650 COLORADO BLVD,LOS ANGELES,90041-1436,1650 COLORADO 90041-1436,,,,722110,Full-service restaurants,14,02/01/1955,,"(34.1393, -118.2026)"
0002604292-0001-8,PIE SQUARED PIZZA LLC,PIZZA REV,9420 RESEDA BLVD #4,NORTHRIDGE,91324-6002,9420 RESEDA 91324-6002,2535 TOWNSGATE ROAD SUITE #101,WESTLAKE VILLAGE,91361-5967,722110,Full-service restaurants,12,03/07/2012,,"(34.2413, -118.536)"
0002443293-0001-0,VERACE PIZZA NAPOLETANA AMERICAS LLC,,4040 DEL REY AVENUE,MARINA DEL REY,90292-5644,4040 DEL REY 90292-5644,,,,,,11,03/08/2005,,"(33.9899, -118.4464)"
0002348180-0001-5,A & A PIZZA INC,DOMINO'S PIZZA #8168,10652 RIVERSIDE DRIVE,NORTH HOLLYWOOD,91602-2319,10652 RIVERSIDE 91602-2319,,,,722300,Special food services (including food service contractors & caterers),4,06/03/2008,,"(34.1522, -118.3631)"
0002708836-0001-8,GABY'S PIZZA NO 2 CORP,,3305 W 8TH STREET,LOS ANGELES,90005-2433,3305 8TH 90005-2433,,,,722211,Limited-service eating places,10,04/22/2013,,"(34.0577, -118.2999)"
0002720789-0001-6,"NAPOLI KOSHER PIZZA, LLC",,12417 BURBANK BLVD UNIT #A,VALLEY VILLAGE,91607-1616,12417 BURBANK 91607-1616,12243 COLLINS STREET,VALLEY VILLAGE,91607-1769,722110,Full-service restaurants,2,01/06/2014,,"(34.1721, -118.4034)"
0002289724-0001-8,"TOMATO PIE PIZZA JOINT SILVER LAKE, INC.",TOMATO PIE,2457 HYPERION AVENUE,LOS ANGELES,90027-4755,2457 HYPERION 90027-4755,,,,722110,Full-service restaurants,4,01/02/2008,,"(34.1038, -118.2733)"
0000992459-0001-1,CALIFORNIA PIZZA KITCHEN INC,CALIFORNIA PIZZA KITCHEN,6801 HOLLYWOOD BLVD #2D255,LOS ANGELES,90028-6136,6801 HOLLYWOOD 90028-6136,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,13,11/08/2001,,"(34.1015, -118.3401)"
0002375344-0037-3,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26199,2724 HYPERION AVENUE,LOS ANGELES,90027-3002,2724 HYPERION 90027-3002,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,4,08/25/2009,,"(34.107, -118.2722)"
0002677694-0001-6,LUZZIA PIZZA COMPANY INC,PRONTO PIZZA,608 E MANCHESTER AVENUE FRONT #608,LOS ANGELES,90001-3631,608 MANCHESTER 90001,,,,,,9,05/15/2013,,"(33.96, -118.2638)"
0000789129-0001-0,VENICE BEACH PIZZA CORP,VENICE PIZZA,821 OCEAN FRONT WALKS,VENICE,90291-3213,821 OCEAN FRONT 90291-3213,,,,722110,Full-service restaurants,11,02/18/1992,,"(33.9911, -118.4773)"
0000739852-0001-4,COMBO'S PIZZA INC,COMBOS NEW YORK STYLE PIZZA,6338 HOLLYWOOD BLVD,LOS ANGELES,90028-6303,6338 HOLLYWOOD 90028-6303,,,,722110,Full-service restaurants,13,01/01/1989,,"(34.1016, -118.328)"
0000428658-0001-5,TOWER OF PIZZA INC,TOWER PIZZA,8351 LINCOLN BLVD,LOS ANGELES,90045-2413,8351 LINCOLN 90045-2413,,,,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",11,03/01/1986,,"(33.9615, -118.4207)"
0000748441-0001-2,CALIFORNIA PIZZA KITCHEN INC,,12265 VENTURA BLVD #201,STUDIO CITY,91604-2528,12265 VENTURA 91604-2528,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,2,07/25/1990,,"(34.1431, -118.3998)"
0000961783-0001-3,CALIFORNIA PIZZA KITCHEN INC,CALIFORNIA PIZZA KITCHEN,735 S FIGUEROA STREET #305,LOS ANGELES,90017-2563,735 FIGUEROA 90017-2563,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,14,05/24/1999,,"(34.0488, -118.2603)"
0000530848-0001-1,RICKARDO PIZZANO,RICKO BAR FURNITURE MANUFACTURING,2202 CENTER STREET,HUNTINGTON PARK,90255-6605,2202 CENTER 90255,,,,442110,Furniture stores,0,03/15/2001,,"(33.9658, -118.2324)"
0002763919-0001-4,PIZZA & CO LLC,,6033 DAUPHIN STREET,LOS ANGELES,90034-2205,6033 DAUPHIN 90034-2205,,,,722300,Special food services (including food service contractors & caterers),10,07/22/2014,,"(34.0349, -118.3749)"
0002375344-0054-3,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26228,6660 W SUNSET BLVD,HOLLYWOOD,90028-7178,6660 SUNSET 90028-7178,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,13,08/25/2009,,"(34.0979, -118.3352)"
0002629388-0003-5,MAR PIZZA INC,DOMINO'S PIZZA,2803 S FIGUEROA STREET,LOS ANGELES,90007-3258,2803 FIGUEROA 90007-3258,15198 DOWNEY AVENUE,PARAMOUNT,90723-4594,722211,Limited-service eating places,9,07/30/2012,,"(34.026, -118.2773)"
0000268696-0001-5,CALIFORNIA PIZZA KITCHEN INC,CALIFORNIA PIZZA KITCHEN,18800 VENTURA BLVD,TARZANA,91356-3305,18800 VENTURA 91356-3305,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,3,08/24/1995,,"(34.1715, -118.5428)"
0002451975-0001-1,PIZZA PASTA SALAD RESTAURANT INC,,1356 S LA BREA AVENUE,LOS ANGELES,90019-2915,1356 LA BREA 90019-2915,,,,722110,Full-service restaurants,10,07/13/2009,,"(34.0483, -118.3444)"
0002498832-0001-1,PIZZANISTA LLC,,2019 E 7TH STREET,LOS ANGELES,90021-1301,2019 7TH 90021-1301,,,,722110,Full-service restaurants,14,07/01/2010,,"(34.0346, -118.2315)"
0000908293-0001-9,PIZZARITO INC,PIZZARITO,4371 GLENCOE AVENUE #B-7,MARINA DEL REY,90292-6400,4371 GLENCOE 90292-6400,,,,722110,Full-service restaurants,11,06/01/1984,,"(33.9857, -118.438)"
0000002505-0002-5,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,3631 CRENSHAW BLVD #113,LOS ANGELES,90016-4869,3631 CRENSHAW 90016-4869,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,10,04/15/1997,,"(34.0228, -118.335)"
0002705431-0001-1,DECARLO PIZZA,,12460 VENICE BLVD,LOS ANGELES,90066-3804,12460 VENICE 90066,,,,,,11,10/13/2013,,"(34.003, -118.4347)"
0002431580-0001-6,VITO'S PIZZA INC (VITO DI DONATO),VITO'S PIZZA INC.,846 N LA CIENEGA BLVD,LOS ANGELES,90069-4708,846 LA CIENEGA 90069-4708,,,,722110,Full-service restaurants,5,07/12/2007,,"(34.0861, -118.3764)"
0002367467-0001-0,WESTERN PIZZA ENTERPRISES INC,DOMINOS PIZZA #8113,12237 SANTA MONICA BLVD,WEST LOS ANGELES,90025-2517,12237 SANTA MONICA 90025-2517,7200 A WINDSOR DRIVE,ALLENTOWN,18106-9318,722410,Drinking places (alcoholic beverages),11,03/10/2008,,"(34.0398, -118.465)"
0002375344-0010-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26143,1555 S WESTERN AVENUE,LOS ANGELES,90006-4233,1555 WESTERN 90006-4233,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,10,08/25/2009,,"(34.0442, -118.309)"
0000982597-0001-9,"Z PIZZA STORES, INC",,123 N LARCHMONT BLVD,LOS ANGELES,90004-3704,123 LARCHMONT 90004-3704,POST OFFICE BOX #4139,MISSION VIEJO,92690-4139,,,4,10/27/1999,,"(34.0734, -118.3236)"
0002375344-0044-6,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26182,1411 LINCOLN BLVD #6,VENICE,90291-6504,1411 LINCOLN 90291-6504,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,11,08/25/2009,,"(33.9979, -118.4608)"
0002375344-0027-6,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26189,19371 SATICOY STREET UNIT #C,RESEDA,91335-2361,19371 SATICOY 91335-2361,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,3,08/25/2009,,"(34.2083, -118.5551)"
0002420465-0001-0,SC PIZZA KING INC,CAS DI PIZZA AND SUBS | WESTHILLS PIZZA CO.,7543 FALLBROOK AVENUE,WEST HILLS,91307-1504,7543 FALLBROOK 91307-1504,,,,722110,Full-service restaurants,12,05/01/2009,,"(34.2074, -118.6234)"
0002375344-0016-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26162,1014 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90037-1817,1014 MARTIN LUTHER KING JR 90037-1817,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,9,08/25/2009,,"(34.0108, -118.2919)"
0002697324-0001-9,8 LA PIZZAS LLC,,433 N CAMDEN DRIVE SUITE #1070,BEVERLY HILLS,90210-4434,433 CAMDEN 90210-4434,,,,532290,Other consumer goods rental,0,09/01/2009,,"(34.0691, -118.4045)"
0000025760-0001-7,THE PIZZA COOKERY INC,THE PIZZA COOKERY,6209 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-2213,6209 TOPANGA CANYON 91367-2213,,,,722110,Full-service restaurants,3,04/01/1975,,"(34.183, -118.6059)"
0002375344-0020-9,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26177,8947 W PICO BLVD,LOS ANGELES,90035-3332,8947 PICO 90035-3332,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,5,08/25/2009,,"(34.0552, -118.387)"
0002718459-0001-2,"GYRO & PIZZA HOUSE, LLC",,18112 PARTHENIA STREET,NORTHRIDGE,91325-3399,18112 PARTHENIA 91325-3399,,,,722110,Full-service restaurants,12,11/18/2013,,"(34.2286, -118.5278)"
0000008435-0001-3,LA PIZZA LOCA INC,LA PIZZA LOCA INC #31,610 S RAMPART BLVD #31,LOS ANGELES,90057-3213,610 RAMPART 90057-3213,9550 FIRESTONE BLVD SUITE #105,DOWNEY,90241-5560,722110,Full-service restaurants,1,04/16/1992,,"(34.0621, -118.2815)"
0002375344-0046-2,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26196,4408 VINELAND AVENUE,NORTH HOLLYWOOD,91602-2116,4408 VINELAND 91602-2116,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,4,08/25/2009,,"(34.1506, -118.3702)"
0002229821-0001-4,LA FOGATA RESTAURANT AND PIZZA,,4431 S VERMONT AVENUE,LOS ANGELES,90037-2413,4431 VERMONT 90037-2413,,,,,,9,05/01/2006,,"(34.0033, -118.2915)"
0000655875-0002-1,HANKS PIZZA OF LA LLC,,442 W MANCHESTER AVENUE,PLAYA DEL REY,90293-7734,442 MANCHESTER 90293-7734,735 N SYCAMORE AVENUE #6,LOS ANGELES,90038-3331,,,11,07/01/2009,,"(33.9563, -118.4426)"
0002369425-0002-9,LUCIFER PIZZA LLC,LUCIFERS PIZZA,7123 MELROSE AVENUE,LOS ANGELES,90046-7617,7123 MELROSE 90046-7617,,,,722110,Full-service restaurants,5,08/23/2012,,"(34.0834, -118.3447)"
0002613045-0001-6,PIZZAGRAPHY INC,APOLLONIA'S PIZZERIA,5176 WILSHIRE BLVD,LOS ANGELES,90036-4303,5176 WILSHIRE 90036-4303,1216 S SYCAMORE AVENUE,LOS ANGELES,90019-1533,722110,Full-service restaurants,4,04/24/2012,,"(34.0621, -118.3424)"
0000116820-0016-5,"E. M.  PIZZA, INC.",DOMINOS PIZZA,7213 FOOTHILL BLVD,TUJUNGA,91042-2718,7213 FOOTHILL 91042-2718,416 N GLENDALE AVENUE UNIT #102,GLENDALE,91206-3326,722110,Full-service restaurants,7,11/05/2012,,"(34.2487, -118.2888)"
0000116820-0010-6,"E. M.  PIZZA, INC.",DOMINO'S PIZZA,5065 HOLLYWOOD BLVD,LOS ANGELES,90027-6133,5065 HOLLYWOOD 90027-6133,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722110,Full-service restaurants,13,09/01/2011,,"(34.1017, -118.2997)"
0000002978-0001-9,THE BEST PIZZA INC,QUICKIE'S PIZZA,4362 LAUREL CANYON BLVD,STUDIO CITY,91604-1709,4362 LAUREL CANYON 91604-1709,,,,722110,Full-service restaurants,2,12/01/1999,,"(34.1496, -118.3964)"
0002613844-0001-7,CRUZER PIZZA,CRUZER PIZZA & PASTA,4449 PROSPECT AVENUE,LOS ANGELES,90027-5503,4449 PROSPECT 90027-5503,306 W 3RD STREET APARTMENT #415,LOS ANGELES,90013-1117,238990,All other specialty trade contractors,4,04/30/2012,,"(34.1017, -118.2862)"
0002375344-0045-4,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26191,8023 LANKERSHIM BLVD,NORTH HOLLYWOOD,91605-1610,8023 LANKERSHIM 91605-1610,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,6,08/04/2009,,"(34.2167, -118.3877)"
0000116820-0004-1,"E. M.  PIZZA, INC.",DOMINO'S PIZZA STORE #8358,1381 W SUNSET BLVD,LOS ANGELES,90026-4449,1381 SUNSET 90026-4449,416 N GLENDALE AVENUE #202,GLENDALE,91206-3327,722110,Full-service restaurants,1,08/12/2003,,"(34.0737, -118.2516)"
0002773919-0001-1,DELICIOUS PIZZA WEST ADAMS LLC,DELICIOUS PIZZA,5419 W ADAMS BLVD,LOS ANGELES,90016-2603,5419 ADAMS 90016,5419 W ADAMS BLVD BUILDING,LOS ANGELES,90016-2603,722110,Full-service restaurants,10,04/22/2014,,"(34.0324, -118.3608)"
0000998874-0001-2,JAG PIZZA INC,DOMINOS PIZZA,520 W AVENUE 26 #B,LOS ANGELES,90065-1016,520 AVENUE 26 90065-1016,,,,722110,Full-service restaurants,1,03/21/2003,,"(34.084, -118.2226)"
0000424934-0001-5,CALIFORNIA PIZZA KITCHEN INC,CALIFORNIA PIZZA KITCHEN,1001 BROXTON AVENUE,LOS ANGELES,90024-2803,1001 BROXTON 90024-2803,12181 W BLUFF CREEK DRIVE FLOOR #5TH,PLAYA VISTA,90094-2627,722110,Full-service restaurants,5,06/07/1999,,"(34.0625, -118.4469)"
0002375344-0019-5,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26176,12217 SANTA MONICA BLVD,LOS ANGELES,90025-2589,12217 SANTA MONICA 90025-2589,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,11,08/25/2009,,"(34.0399, -118.4647)"
0002760030-0001-5,ANTHONY'S ITALIAN PIZZA KITCHEN INC,CAFE AL DENTE,12215 VENTURA BLVD SUITE #112,STUDIO CITY,91604-2533,12215 VENTURA 91604-2533,,,,722110,Full-service restaurants,2,02/01/2014,,"(34.1432, -118.3985)"
0002375344-0021-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26178,3959 WILSHIRE BLVD,LOS ANGELES,90010-3315,3959 WILSHIRE 90010-3315,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,10,08/25/2009,,"(34.0617, -118.313)"
0002604292-0002-6,PIE SQUARED PIZZA LLC,PIZZA REV,12103 VENTURA BLVD,STUDIO CITY,91604-2605,12103 VENTURA 91604-2605,2535 TOWNSGATE ROAD SUITE #101,WESTLAKE VILLAGE,91361-5967,722110,Full-service restaurants,2,08/08/2012,,"(34.1447, -118.3949)"
0002723278-0001-9,PADRINO'S PIZZA INC,PADRINO'S PIZZA,13328 BURBANK BLVD,SHERMAN OAKS,91401-5321,13328 BURBANK 91401-5321,,,,722300,Special food services (including food service contractors & caterers),4,12/08/2013,,"(34.1721, -118.4231)"
0002606836-0001-8,MR PIZZA JVP LLC,,350 E 1ST STREET,LOS ANGELES,90012-3902,350 1ST 90012-3902,,,,722211,Limited-service eating places,14,02/24/2012,,"(34.0495, -118.2395)"
0000267398-0001-2,CHI CHIS PIZZA INC,,9080 TAMPA AVENUE,NORTHRIDGE,91324-3523,9080 TAMPA 91324-3523,9205 ALABAMA AVENUE #A,CHATSWORTH,91311-5859,722110,Full-service restaurants,12,07/01/1973,,"(34.2349, -118.5535)"
0000002505-0001-7,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,950 W MANCHESTER AVENUE,LOS ANGELES,90044-4916,950 MANCHESTER 90044-4916,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,8,08/05/1996,,"(33.96, -118.2906)"
0002375344-0032-2,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 26213,7136 VAN NUYS BLVD,VAN NUYS,91405-3005,7136 VAN NUYS 91405-3005,POST OFFICE BOX #638,NIXA,65714-0638,722211,Limited-service eating places,6,08/25/2009,,"(34.2001, -118.4487)"
0002390116-0001-1,AMECI PIZZA & PASTA,,7550 TAMPA AVENUE #G,RESEDA,91335-2481,7550 TAMPA 91335-2481,,,,722110,Full-service restaurants,3,01/01/2005,,"(34.2074, -118.5535)"
0000247627-0001-4,MR PIZZA INC,MR PIZZA,412 N FAIRFAX AVENUE,LOS ANGELES,90036-1717,412 FAIRFAX 90036-1717,2290 HUNTINGTON DRIVE SUITE #200,SAN MARINO,91108-2639,722110,Full-service restaurants,5,11/01/1972,,"(34.0785, -118.3614)"
0002375344-0081-1,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT - 28345,11146 PALMS BLVD,LOS ANGELES,90034-6503,11146 PALMS 90034-6503,POST OFFICE BOX #638,NIXA,65714-0638,722110,Full-service restaurants,5,11/13/2012,,"(34.019, -118.4226)"
0000116820-0012-2,"E. M.  PIZZA, INC.",DOMINO'S PIZZA #8131,6051 HOLLYWOOD BLVD,HOLLYWOOD,90028-5485,6051 HOLLYWOOD 90028-5485,416 N GLENDALE AVENUE SUITE #202,GLENDALE,91206-3327,722110,Full-service restaurants,13,07/30/2012,,"(34.1016, -118.3212)"
0002845737-0001-3,MOD SUPERFAST PIZZA (CALIFORNIA) LLC,MOD SUPERFAST PIZZA,8985 VENICE BLVD SUITE #K,LOS ANGELES,90034-3347,8985 VENICE 90034-3347,POST OFFICE BOX #6939,BELLEVUE,98008-0939,722300,Special food services (including food service contractors & caterers),5,08/31/2015,,"(34.0274, -118.3918)"
0000532043-0003-4,PRIMA PIZZA INC,DOMINO'S PIZZA,3309 W PICO BLVD,LOS ANGELES,90019-4530,3309 PICO 90019-4530,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,10,10/01/1999,,"(34.0471, -118.3158)"
0000897428-0001-7,MAMAS GRILL PIZZA & PASTA INC,,3311 MOTOR AVENUE,LOS ANGELES,90034-3711,3311 MOTOR 90034-3711,,,,722110,Full-service restaurants,5,07/01/2004,,"(34.029, -118.4105)"
0002844096-0001-6,PIZZA MOON INC,,2619 S WESTERN AVENUE,LOS ANGELES,90018-2628,2619 WESTERN 90018-2628,,,,722110,Full-service restaurants,8,07/28/2015,,"(34.0316, -118.3089)"
0002796385-0001-3,"DOWNTOWN L.A. PIZZA, LLC",JOE'S PIZZA DOWNTOWN,613 S SPRING STREET,LOS ANGELES,90014-1902,613 SPRING 90014-1902,1709 WILCOX AVENUE,LOS ANGELES,90028-5103,722211,Limited-service eating places,14,01/30/2015,,"(34.0457, -118.251)"
0002825660-0001-1,"THE COOP PIZZA, INC.",,10006 NATIONAL BLVD,LOS ANGELES,90034-3809,10006 NATIONAL 90034,,,,,,5,04/01/2015,,"(34.0291, -118.4044)"
0002826030-0001-9,SLICETRUCK PIZZA,,2012 SAWTELLE BLVD,LOS ANGELES,90025-6230,2012 SAWTELLE 90025-6230,,,,722110,Full-service restaurants,11,05/05/2015,,"(34.0408, -118.4435)"
0002746279-0002-6,ENCHANTED PIZZA INC,PAPA JOHN'S PIZZA,8949 SUNLAND BLVD,SUN VALLEY,91352-2844,8949 SUNLAND 91352-2844,POST OFFICE BOX #126,PACIFIC PALISADES,90272-0126,722211,Limited-service eating places,7,09/17/2014,,"(34.2317, -118.3667)"
0002664632-0003-3,I-PIZZA TUMBY'S INC,,1059 S ALVARADO STREET,LOS ANGELES,90006-3711,1059 ALVARADO 90006-3711,,,,722110,Full-service restaurants,1,12/01/2014,,"(34.0508, -118.2804)"
0002766428-0001-4,MVP PIZZA INCORPORATED,,525 S GAFFEY STREET,SAN PEDRO,90731-2437,525 GAFFEY 90731-2437,,,,722110,Full-service restaurants,15,08/01/2014,,"(33.7394, -118.2923)"
0002842452-0001-1,PLANK 47 PIZZA LLC,,4551 S CENTINELA AVENUE,LOS ANGELES,90066-6249,4551 CENTINELA 90066-6249,,,,722211,Limited-service eating places,11,05/01/2015,,"(33.9919, -118.4221)"
0002550399-0001-5,BRENTWOOD PIZZA INC,CAFE SAN GENNARO,140 S BARRINGTON PLACE,LOS ANGELES,90049-3306,140 BARRINGTON 90049-3306,11827 DOROTHY STREET APARTMENT #9,LOS ANGELES,90049-5478,722211,Limited-service eating places,11,03/29/2011,,"(34.0664, -118.4693)"
0002829272-0002-9,COTTI FOODS PIZZA CALIFORNIA,PIEOLOGY #8051,9118 RESEDA BLVD,NORTHRIDGE,91324-3030,9118 RESEDA 91324-3030,29889 SANTA MARGARITA PARKWAYS,RANCHO SANTA MARGARITA,92688-3609,722110,Full-service restaurants,12,03/10/2015,,"(34.2357, -118.536)"
0002777191-0001-7,"NICK'S BAKERY & PIZZA, INC",NICK'S BAKERY & PIZZA,13318 VICTORY BLVD,VAN NUYS,91401-1831,13318 VICTORY 91401-1831,,,,722211,Limited-service eating places,2,04/01/2014,,"(34.1866, -118.4232)"
0002218097-0002-6,"MR PIZZA WESTERN, INC",MR PIZZA EXPRESS,735 E 12TH STREET SUITE #406,LOS ANGELES,90021-2264,735 12TH 90021-2264,,,,722211,Limited-service eating places,14,01/01/2015,,"(34.033, -118.252)"
